year,customer_id,gender_filled,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum days_filled,customer_support_calls,churn_filled
2020,100198,Female,36,62,no,no,148.35,12.2,16.81,82,1,4,1,0
2020,100643,Female,39,149,no,no,294.45,7.7,33.37,87,3,3,2,0
2020,100756,Female,65,126,no,no,87.3,11.9,9.89,91,1,4,5,1
2020,101595,Female,24,131,no,yes,321.3,9.5,36.41,102,4,3,3,0
2020,101653,Female,40,191,no,no,243,10.9,27.54,83,7,3,1,0
2020,101953,UNKNOWN,31,65,no,no,193.65,12.7,21.95,111,6,4,4,1
2020,103051,UNKNOWN,54,59,no,no,239.25,10.2,27.12,106,4,3,0,0
2020,103225,Female,40,50,no,no,196.65,5.6,22.29,88,9,3,5,1
2020,103408,Male,61,205,no,yes,263.7,7.8,29.89,64,5,3,2,0
2020,103676,Male,31,63,no,no,316.8,12.3,35.9,58,2,4,0,0
2020,103697,Male,34,114,no,yes,338.7,8.4,38.39,100,9,3,4,0
2020,103738,Male,34,107,no,no,201,7.3,22.78,79,3,2,3,0
2020,104025,Female,30,84,no,no,112.95,12.3,12.8,134,1,4,1,0
2020,104904,Female,23,142,no,no,218.1,10.9,24.72,96,1,3,1,0
2020,106264,Female,21,137,no,no,313.2,11.1,35.5,130,5,3,0,0
2020,106415,Male,30,100,no,yes,328.05,12.1,37.18,117,4,4,1,0
2020,106723,Male,44,84,no,no,239.25,7.2,27.12,82,4,2,2,0
2020,107195,Female,45,99,no,no,300,11.4,34,82,2,4,3,0
2020,107251,Male,39,115,no,no,367.5,13.7,41.65,124,8,4,1,1
2020,107707,Female,59,194,no,no,72.6,18.2,8.23,87,1,5,1,0
2020,107962,UNKNOWN,57,104,no,no,246.3,10.7,27.91,117,8,3,1,0
2020,108471,UNKNOWN,32,170,no,no,369.6,9.1,41.89,95,8,3,0,0
2020,108519,Female,45,76,no,no,395.1,11.4,44.78,101,5,4,1,1
2020,108763,Male,32,94,no,no,206.25,13.4,23.38,131,2,4,0,0
2020,108810,Female,36,81,no,yes,251.85,9.2,28.54,103,6,3,4,1
2020,108961,Male,50,137,no,no,363.15,14.7,41.16,50,2,4,3,0
2020,109133,Male,28,119,yes,yes,240,8.7,27.2,107,5,3,5,1
2020,110920,Male,37,138,no,yes,275.85,15,31.26,125,3,5,1,0
2020,111051,Female,44,124,no,no,197.7,11.3,22.41,101,2,4,1,0
2020,111118,Male,37,48,no,yes,346.35,7.6,39.25,87,4,3,3,0
2020,111252,Female,63,106,no,no,280.65,11,31.81,81,3,3,1,0
2020,111338,Male,45,161,no,no,499.35,5.4,56.59,128,9,2,4,1
2020,111935,Male,33,89,no,no,123.45,7.2,13.99,70,4,2,1,0
2020,112023,Female,34,105,yes,yes,234.15,14.7,26.54,95,3,4,0,1
2020,112029,Female,32,59,no,no,273.75,11.3,31.03,100,8,4,4,0
2020,112607,Female,32,81,no,no,218.1,5.2,24.72,109,4,2,1,0
2020,112612,Male,35,67,no,no,228.75,4.9,25.93,104,3,2,2,0
2020,113139,Male,52,129,no,no,324,4.9,36.72,109,10,2,2,0
2020,113990,UNKNOWN,48,56,no,no,205.8,14.3,23.32,72,4,4,1,0
2020,114301,Male,30,62,no,no,220.65,12.2,25.01,115,3,4,0,0
2020,114359,Male,55,95,no,yes,391.2,10.1,44.34,97,5,3,1,0
2020,114545,Female,44,76,no,no,336.6,6.7,38.15,74,2,2,2,0
2020,114687,Female,31,37,no,no,286.65,12.9,32.49,117,1,4,0,0
2020,114709,Female,41,80,no,no,483.45,6.7,54.79,123,8,2,0,1
2020,114846,Female,43,190,no,no,254.1,8.9,28.8,93,5,3,1,0
2020,114864,Female,45,168,no,yes,146.1,11.4,16.56,124,2,4,2,0
2020,115639,Female,39,166,yes,yes,192.3,8.8,21.79,130,7,3,2,0
2020,115913,Female,38,42,no,no,361.8,10.6,41,91,4,3,0,0
2020,116388,Male,43,96,no,no,390.6,11.5,44.27,87,4,4,5,0
2020,116710,Female,26,76,yes,no,409.95,12,46.46,84,7,4,1,1
2020,116745,Male,29,94,no,no,285.9,7.5,32.4,97,5,3,1,0
2020,117055,Male,45,76,no,yes,284.55,10,32.25,108,5,3,1,0
2020,117454,Female,26,77,no,no,244.5,6.7,27.71,66,3,2,2,0
2020,117625,Male,36,54,no,yes,168,11.3,19.04,83,4,4,2,0
2020,117807,Male,31,41,no,no,238.95,11.1,27.08,76,5,3,1,0
2020,117900,Male,30,53,no,yes,218.55,13.1,24.77,96,5,4,3,0
2020,117950,Male,34,131,no,no,230.1,10.4,26.08,83,3,3,0,0
