year,customer_id,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days,customer_support_calls,churn,multi_screen_score,email_marketing_score,subscription_tenure,engagement_score,consistency_score,night_owl_score,churn_risk_score
2020,100198,Female,36,62,no,no,148.35,12.2,16.81,82,1,4,1,0,1,1,0.2551440329218107,0.2819270239452679,0.7257584770969661,0.5527468823727671,0.5660569105691058
2020,100643,Female,39,149,no,no,294.45,7.7,33.37,87,3,3,2,0,1,1,0.6131687242798354,0.5595781071835804,0.23074617920287688,0.2954661232806928,0.45236550769763023
2020,100756,Female,65,126,no,no,87.3,11.9,9.89,91,1,4,5,1,1,1,0.5185185185185185,0.16590649942987457,1.2032355915065722,1.0423825887743414,0.9486680505102923
2020,101595,Female,24,131,no,yes,321.3,9.5,36.41,102,4,3,3,0,1,2,0.5390946502057613,0.6106043329532497,0.2609173304037352,0.31746031746031744,0.49338349766476397
2020,101653,Female,40,191,no,no,243.0,10.9,27.54,83,7,3,1,0,1,1,0.7860082304526749,0.4618015963511972,0.39578794480755264,0.34156378600823045,0.44326241134751787
2020,101953,Female,31,65,no,no,193.65,12.7,21.95,111,6,4,4,1,1,1,0.2674897119341564,0.36801596351197263,0.5785876993166287,0.5731990704879938,0.73484258778758
2020,103051,Female,54,59,no,no,239.25,10.2,27.12,106,4,3,0,0,1,1,0.24279835390946503,0.45467502850627134,0.3761061946902654,0.4430512016718913,0.3722755578619617
2020,103225,Female,40,50,no,no,196.65,5.6,22.29,88,9,3,5,1,1,1,0.205761316872428,0.37371721778791334,0.2512337371018395,0.4474955504703788,0.8068024563224356
2020,103408,Male,61,205,no,yes,263.7,7.8,29.89,64,5,3,2,0,1,2,0.8436213991769548,0.5011402508551881,0.26095684175309475,0.24270003792188094,0.4922591247189068
2020,103676,Male,31,63,no,no,316.8,12.3,35.9,58,2,4,0,0,1,1,0.25925925925925924,0.6020524515393386,0.34261838440111425,0.18308080808080807,0.2716658017644007
2020,103697,Male,34,114,no,yes,338.7,8.4,38.39,100,9,3,4,0,1,2,0.4691358024691358,0.6436716077537057,0.21880698098463136,0.29524653085326247,0.5466614772530706
2020,103738,Male,34,107,no,no,201.0,7.3,22.78,79,3,2,3,0,1,1,0.4403292181069959,0.3819840364880273,0.3204565408252854,0.39303482587064675,0.6494551115723923
2020,104025,Female,30,84,no,no,112.95,12.3,12.8,134,1,4,1,0,1,1,0.345679012345679,0.2146522234891676,0.9609375,1.1863656485170428,0.6119832208960388
2020,104904,Female,23,142,no,no,218.1,10.9,24.72,96,1,3,1,0,1,1,0.5843621399176955,0.41448118586088933,0.4409385113268609,0.44016506189821186,0.47556651098425884
2020,106264,Female,21,137,no,no,313.2,11.1,35.5,130,5,3,0,0,1,1,0.5637860082304527,0.5952109464082097,0.3126760563380282,0.4150702426564496,0.276336274001038
2020,106415,Male,30,100,no,yes,328.05,12.1,37.18,117,4,4,1,0,1,2,0.411522633744856,0.6234321550741163,0.3254437869822485,0.3566529492455418,0.3329225047569625
2020,106723,Male,44,84,no,no,239.25,7.2,27.12,82,4,2,2,0,1,1,0.345679012345679,0.45467502850627134,0.2654867256637168,0.34273772204806685,0.5239794153260683
2020,107195,Female,45,99,no,no,300.0,11.4,34.0,82,2,4,3,0,1,1,0.4074074074074074,0.5701254275940707,0.33529411764705874,0.2733333333333333,0.5210171250648677
2020,107251,Male,39,115,no,no,367.5,13.7,41.65,124,8,4,1,1,1,1,0.4732510288065844,0.6984036488027365,0.3289315726290516,0.33741496598639453,0.2817419131638126
2020,107707,Female,59,194,no,no,72.6,18.2,8.23,87,1,5,1,0,1,1,0.7983539094650206,0.1379703534777651,2.2114216281895502,1.1983471074380165,0.6643314305483481
2020,107962,Female,57,104,no,no,246.3,10.7,27.91,117,8,3,1,0,1,1,0.4279835390946502,0.468072976054732,0.38337513436044424,0.47503045066991473,0.4389811451306004
2020,108471,Female,32,170,no,no,369.6,9.1,41.89,95,8,3,0,0,1,1,0.6995884773662552,0.7023945267958951,0.21723561709238481,0.257034632034632,0.20316554229372083
2020,108519,Female,45,76,no,no,395.1,11.4,44.78,101,5,4,1,1,1,1,0.31275720164609055,0.7508551881413911,0.25457793657882977,0.2556314856998228,0.24593495934959353
2020,108763,Male,32,94,no,no,206.25,13.4,23.38,131,2,4,0,0,1,1,0.3868312757201646,0.39196123147092354,0.5731394354148845,0.6351515151515151,0.41508822003113655
2020,108810,Female,36,81,no,yes,251.85,9.2,28.54,103,6,3,4,1,1,2,0.3333333333333333,0.4786202964652223,0.322354590049054,0.4089735953940838,0.6593366199619444
2020,108961,Male,50,137,no,no,363.15,14.7,41.16,50,2,4,3,0,1,1,0.5637860082304527,0.6901368301026225,0.3571428571428572,0.13768415255404104,0.4390892579138558
2020,109133,Male,28,119,yes,yes,240.0,8.7,27.2,107,5,3,5,1,2,2,0.4897119341563786,0.4561003420752565,0.31985294117647056,0.44583333333333336,0.7505621864729287
2020,110920,Male,37,138,no,yes,275.85,15.0,31.26,125,3,5,1,0,1,2,0.5679012345679012,0.524230330672748,0.4798464491362764,0.4531448250860975,0.40064435218820277
2020,111051,Female,44,124,no,no,197.7,11.3,22.41,101,2,4,1,0,1,1,0.5102880658436214,0.37571265678449256,0.5042391789379741,0.5108750632271118,0.5020325203252033
2020,111118,Male,37,48,no,yes,346.35,7.6,39.25,87,4,3,3,0,1,2,0.19753086419753085,0.6582098061573546,0.1936305732484077,0.2511909917713296,0.46088479501816304
2020,111252,Female,63,106,no,no,280.65,11.0,31.81,81,3,3,1,0,1,1,0.43621399176954734,0.533352337514253,0.34580320653882424,0.2886157135221807,0.39441705587268655
2020,111338,Male,45,161,no,no,499.35,5.4,56.59,128,9,2,4,1,1,1,0.6625514403292181,0.9489737742303306,0.0954232196501148,0.2563332332031641,0.33824165369313275
2020,111935,Male,33,89,no,no,123.45,7.2,13.99,70,4,2,1,0,1,1,0.3662551440329218,0.2346066134549601,0.5146533238027162,0.5670311867152693,0.5983610102058469
2020,112023,Female,34,105,yes,yes,234.15,14.7,26.54,95,3,4,0,1,2,2,0.43209876543209874,0.44498289623717213,0.5538809344385833,0.4057228272474909,0.3788920601971978
2020,112029,Female,32,59,no,no,273.75,11.3,31.03,100,8,4,4,0,1,1,0.24279835390946503,0.5202394526795895,0.36416371253625524,0.365296803652968,0.6309245805224011
2020,112607,Female,32,81,no,no,218.1,5.2,24.72,109,4,2,1,0,1,1,0.3333333333333333,0.41448118586088933,0.21035598705501612,0.49977074736359467,0.47556651098425884
2020,112612,Male,35,67,no,no,228.75,4.9,25.93,104,3,2,2,0,1,1,0.2757201646090535,0.4347206385404789,0.18897030466640952,0.4546448087431694,0.5376016260162602
2020,113139,Male,52,129,no,no,324.0,4.9,36.72,109,10,2,2,0,1,1,0.5308641975308642,0.6157354618015963,0.1334422657952069,0.33641975308641975,0.41402871475523273
2020,113990,Female,48,56,no,no,205.8,14.3,23.32,72,4,4,1,0,1,1,0.23045267489711935,0.39110604332953247,0.6132075471698113,0.3498542274052478,0.4915239577927695
2020,114301,Male,30,62,no,no,220.65,12.2,25.01,115,3,4,0,0,1,1,0.2551440329218107,0.41932725199543897,0.4878048780487805,0.5211874008610922,0.3964063310845875
2020,114359,Male,55,95,no,yes,391.2,10.1,44.34,97,5,3,1,0,1,2,0.39094650205761317,0.7434435575826681,0.22778529544429416,0.2479550102249489,0.2509946376059506
2020,114545,Female,44,76,no,no,336.6,6.7,38.15,74,2,2,2,0,1,1,0.31275720164609055,0.6396807297605474,0.17562254259501964,0.21984551396316102,0.3976820619270023
2020,114687,Female,31,37,no,no,286.65,12.9,32.49,117,1,4,0,0,1,1,0.1522633744855967,0.5447548460661344,0.39704524469067404,0.40816326530612246,0.31078100674623776
2020,114709,Female,41,80,no,no,483.45,6.7,54.79,123,8,2,0,1,1,1,0.3292181069958848,0.9187571265678448,0.12228508851980291,0.2544213465715172,0.05546185781006755
2020,114846,Female,43,190,no,no,254.1,8.9,28.8,93,5,3,1,0,1,1,0.7818930041152263,0.48289623717217783,0.3090277777777778,0.3659976387249115,0.42886178861788626
2020,114864,Female,45,168,no,yes,146.1,11.4,16.56,124,2,4,2,0,1,2,0.691358024691358,0.2776510832383124,0.6884057971014493,0.8487337440109515,0.6448278844490574
2020,115639,Female,39,166,yes,yes,192.3,8.8,21.79,130,7,3,2,0,2,2,0.6831275720164609,0.3654503990877993,0.4038549793483249,0.6760270410816432,0.5848901574122125
2020,115913,Female,38,42,no,no,361.8,10.6,41.0,91,4,3,0,0,1,1,0.1728395061728395,0.6875712656784492,0.25853658536585367,0.2515201768933112,0.21328489880643495
2020,116388,Male,43,96,no,no,390.6,11.5,44.27,87,4,4,5,0,1,1,0.3950617283950617,0.74230330672748,0.2597695956629772,0.2227342549923195,0.5551807645736033
2020,116710,Female,26,76,yes,no,409.95,12.0,46.46,84,7,4,1,1,2,1,0.31275720164609055,0.7790763968072976,0.2582866982350409,0.20490303695572631,0.22666926137346485
2020,116745,Male,29,94,no,no,285.9,7.5,32.4,97,5,3,1,0,1,1,0.3868312757201646,0.5433295324971493,0.2314814814814815,0.33927946834557543,0.3876059505275904
2020,117055,Male,45,76,no,yes,284.55,10.0,32.25,108,5,3,1,0,1,2,0.31275720164609055,0.540763968072976,0.31007751937984496,0.3795466526093832,0.3893573776163294
2020,117454,Female,26,77,no,no,244.5,6.7,27.71,66,3,2,2,0,1,1,0.3168724279835391,0.46465222348916757,0.24178996752075055,0.26993865030674846,0.5171683099809722
2020,117625,Male,36,54,no,yes,168.0,11.3,19.04,83,4,4,2,0,1,2,0.2222222222222222,0.31927023945267957,0.5934873949579833,0.49404761904761907,0.616415845009514
2020,117807,Male,31,41,no,no,238.95,11.1,27.08,76,5,3,1,0,1,1,0.16872427983539096,0.45410490307867724,0.4098966026587888,0.3180581711655158,0.4485166926137348
2020,117900,Male,30,53,no,yes,218.55,13.1,24.77,96,5,4,3,0,1,2,0.21810699588477367,0.41533637400228046,0.5288655631812677,0.4392587508579272,0.6266865594187858
2020,117950,Male,34,131,no,no,230.1,10.4,26.08,83,3,3,0,0,1,1,0.5390946502057613,0.43728620296465215,0.39877300613496935,0.36071273359408956,0.38414634146341475
2020,119245,Male,52,98,no,yes,181.5,12.0,20.57,110,1,4,1,0,1,2,0.40329218106995884,0.34492588369441274,0.583373845405931,0.6060606060606061,0.523049645390071
2020,119421,Female,41,90,no,yes,275.7,7.7,31.25,124,3,3,1,0,1,2,0.37037037037037035,0.5239452679589509,0.24639999999999995,0.44976423648893726,0.40083895519806273
2020,119553,Male,27,146,yes,no,240.15,9.2,27.22,98,3,3,2,0,2,1,0.6008230452674898,0.45638540478905354,0.3379867744305658,0.40807828440557986,0.522811797266909
