gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days,customer_support_calls,churn,churn_risk_score,engagement_score,consistency_score,night_owl_score,subscription_tenure,multi_screen_score,email_marketing_score
0,36,62,no,no,148.35,12.2,16.81,82,1,4,1,0,-17.370952380952378,63.9915,0.7257584770969661,0.5527468823727671,Short-term,,
0,39,149,no,no,294.45,7.7,33.37,87,3,3,2,0,-43.1926,124.8405,0.23074617920287685,0.2954661232806928,Mid-term,,
0,65,126,no,no,87.3,11.9,9.89,91,1,4,5,1,-34.23748031496063,38.4885,1.2032355915065722,1.0423825887743414,Mid-term,,
0,24,131,no,yes,321.3,9.5,36.41,102,4,3,3,0,-37.38681818181818,136.6065,0.26091733040373527,0.31746031746031744,Mid-term,,
0,40,191,no,no,243.0,10.9,27.54,83,7,3,1,0,-56.153124999999996,105.066,0.3957879448075527,0.34156378600823045,Mid-term,,
0,31,65,no,no,193.65,12.7,21.95,111,6,4,4,1,-16.88681818181818,84.45750000000001,0.5785876993166287,0.5731990704879938,Short-term,,
0,54,59,no,no,239.25,10.2,27.12,106,4,3,0,0,-17.5975,102.498,0.37610619469026546,0.4430512016718913,Short-term,,
0,40,50,no,no,196.65,5.6,22.29,88,9,3,5,1,-12.371176470588235,85.54350000000001,0.2512337371018394,0.4474955504703788,Short-term,,
1,61,205,no,yes,263.7,7.8,29.89,64,5,3,2,0,-59.85601941747572,112.6335,0.2609568417530947,0.24270003792188094,Mid-term,,
1,31,63,no,no,316.8,12.3,35.9,58,2,4,0,0,-18.689999999999998,134.55,0.34261838440111425,0.18308080808080807,Short-term,,
1,34,114,no,yes,338.7,8.4,38.39,100,9,3,4,0,-31.889043478260866,145.19849999999997,0.21880698098463142,0.29524653085326247,Mid-term,,
1,34,107,no,no,201.0,7.3,22.78,79,3,2,3,0,-30.372222222222224,85.81200000000001,0.3204565408252853,0.39303482587064675,Mid-term,,
0,30,84,no,no,112.95,12.3,12.8,134,1,4,1,0,-23.765764705882354,49.245000000000005,0.9609375,1.1863656485170428,Short-term,,
0,23,142,no,no,218.1,10.9,24.72,96,1,3,1,0,-41.50503496503496,92.88300000000001,0.44093851132686085,0.44016506189821186,Mid-term,,
0,21,137,no,no,313.2,11.1,35.5,130,5,3,0,0,-40.653913043478255,133.77,0.31267605633802814,0.4150702426564496,Mid-term,,
1,30,100,no,yes,328.05,12.1,37.18,117,4,4,1,0,-28.949603960396036,139.81199999999998,0.3254437869822485,0.3566529492455418,Mid-term,,
1,44,84,no,no,239.25,7.2,27.12,82,4,2,2,0,-24.162941176470586,102.048,0.26548672566371684,0.34273772204806685,Short-term,,
0,45,99,no,no,300.0,11.4,34.0,82,2,4,3,0,-27.6,127.41,0.33529411764705885,0.2733333333333333,Mid-term,,
1,39,115,no,no,367.5,13.7,41.65,124,8,4,1,1,-33.43362068965517,157.70250000000001,0.3289315726290516,0.33741496598639453,Mid-term,,
0,59,194,no,no,72.6,18.2,8.23,87,1,5,1,0,-56.27446153846154,33.3045,2.2114216281895502,1.1983471074380165,Mid-term,,
0,57,104,no,no,246.3,10.7,27.91,117,8,3,1,0,-30.269142857142853,106.71150000000002,0.38337513436044424,0.47503045066991473,Mid-term,,
0,32,170,no,no,369.6,9.1,41.89,95,8,3,0,0,-50.53228070175439,157.88850000000002,0.21723561709238481,0.257034632034632,Mid-term,,
0,45,76,no,no,395.1,11.4,44.78,101,5,4,1,1,-22.126233766233764,167.967,0.2545779365788298,0.2556314856998228,Short-term,,
1,32,94,no,no,206.25,13.4,23.38,131,2,4,0,0,-27.43421052631579,88.61699999999999,0.5731394354148845,0.6351515151515151,Mid-term,,
0,36,81,no,yes,251.85,9.2,28.54,103,6,3,4,1,-22.014268292682925,108.20100000000001,0.3223545900490539,0.4089735953940838,Short-term,,
1,50,137,no,no,363.15,14.7,41.16,50,2,4,3,0,-38.92630434782608,154.23899999999998,0.35714285714285715,0.13768415255404104,Mid-term,,
1,28,119,yes,yes,240.0,8.7,27.2,107,5,3,5,1,-32.699999999999996,102.885,0.31985294117647056,0.44583333333333336,Mid-term,,
1,37,138,no,yes,275.85,15.0,31.26,125,3,5,1,0,-39.79690647482014,118.17900000000003,0.4798464491362764,0.4531448250860975,Mid-term,,
0,44,124,no,no,197.7,11.3,22.41,101,2,4,1,0,-35.81632,84.73649999999999,0.5042391789379741,0.5108750632271118,Mid-term,,
1,37,48,no,yes,346.35,7.6,39.25,87,4,3,3,0,-13.413673469387755,146.7675,0.19363057324840763,0.2511909917713296,Short-term,,
0,63,106,no,no,280.65,11.0,31.81,81,3,3,1,0,-30.924579439252334,119.58149999999999,0.3458032065388243,0.2886157135221807,Mid-term,,
1,45,161,no,no,499.35,5.4,56.59,128,9,2,4,1,-46.316481481481475,211.7385,0.09542321965011487,0.2563332332031641,Mid-term,,
1,33,89,no,no,123.45,7.2,13.99,70,4,2,1,0,-25.874333333333333,53.758500000000005,0.5146533238027162,0.5670311867152693,Short-term,,
0,34,105,yes,yes,234.15,14.7,26.54,95,3,4,0,1,-30.741792452830186,100.74600000000001,0.5538809344385832,0.4057228272474909,Mid-term,,
0,32,59,no,no,273.75,11.3,31.03,100,8,4,4,0,-15.4125,118.24950000000001,0.36416371253625524,0.365296803652968,Short-term,,
