iter	F1	Logloss
0	0.6962516157	0.6683721682
1	0.7568412823	0.6508124976
2	0.7549295775	0.6318249834
3	0.7440929115	0.6170142799
4	0.753164557	0.6013817914
5	0.7644514353	0.5878885592
6	0.7590837283	0.5759041931
7	0.7609294998	0.5663911878
8	0.792162889	0.5526813937
9	0.7916827108	0.5435547947
10	0.8009205984	0.5326070923
11	0.7952086553	0.5261063404
12	0.7972136223	0.5192715029
13	0.7923794712	0.5131269627
14	0.7890625	0.5060557507
15	0.7965772073	0.4990308241
16	0.7970451011	0.4934206083
17	0.8010835913	0.4875935119
18	0.8010856921	0.4818776784
19	0.8043478261	0.475718902
20	0.8003114052	0.4705474143
21	0.8012446519	0.4657937058
22	0.8001558239	0.4599478547
23	0.799377916	0.4555407066
24	0.8026469443	0.4523146963
25	0.8151001541	0.4462759062
26	0.820591625	0.4414367203
27	0.8222648752	0.4364822255
28	0.8247027234	0.4312165252
29	0.8256036796	0.4279692188
30	0.8333968738	0.4243866009
31	0.8368200837	0.4203034506
32	0.8378995434	0.417317929
33	0.8366958508	0.4143962948
34	0.8413059985	0.4092865786
35	0.8446969697	0.4047792022
36	0.846328539	0.4000979772
37	0.8475217556	0.3972054175
38	0.8505660377	0.3949598881
39	0.8500188893	0.3928253891
40	0.8507744617	0.3891854112
41	0.8519637462	0.3868691101
42	0.8539071348	0.3838930319
43	0.8543396226	0.3813672865
44	0.853796751	0.3793653526
45	0.8595103578	0.3759903968
46	0.859186747	0.3733169412
47	0.8620819241	0.3692603089
48	0.8628335212	0.3670246478
49	0.8621855051	0.3649847831
50	0.864012021	0.3623916244
51	0.8649868372	0.3599269871
52	0.8658399098	0.3573418639
53	0.8658399098	0.355001284
54	0.8666917011	0.3530781591
55	0.8678678679	0.3510420253
56	0.8676415448	0.3487924661
57	0.8692394155	0.3467935696
58	0.8683914511	0.3454477803
59	0.869011976	0.3437967827
60	0.8691413573	0.3417687088
61	0.8706411699	0.3404624654
62	0.8708348933	0.3391491687
63	0.8710644678	0.3366890853
64	0.8708348933	0.3346326297
65	0.8719101124	0.3329007655
66	0.873081243	0.3305658032
67	0.8739244295	0.3284609354
68	0.8761690984	0.3265426107
69	0.8769173214	0.3246843149
70	0.8778483377	0.3228786293
71	0.8816083395	0.3207227632
72	0.8819366853	0.3197487715
73	0.8831845238	0.3179277185
74	0.8843436222	0.3169626729
75	0.8850018608	0.315002336
76	0.8850018608	0.3132778393
77	0.8855018587	0.3122062478
78	0.8843436222	0.310903166
79	0.8855869242	0.3096515243
80	0.8859160164	0.30854906
81	0.8865749349	0.3071886674
82	0.887486075	0.3058069316
83	0.8890538033	0.3045504663
84	0.8906192065	0.3033982397
85	0.8911994059	0.3012667677
86	0.8923533779	0.299879381
87	0.8935854653	0.2991776279
88	0.8944835246	0.2978017969
89	0.8944835246	0.2972116316
90	0.8967049241	0.2957551523
91	0.896373057	0.2950842554
92	0.8976727004	0.2937194134
93	0.9012527634	0.2916879588
94	0.9012527634	0.2908137253
95	0.9035346097	0.2890273517
96	0.9050073638	0.287068493
97	0.9050772627	0.2858749716
98	0.9051470588	0.2849965644
99	0.9058823529	0.2840903252
100	0.9062844542	0.2823319718
101	0.907754502	0.2809929976
102	0.907754502	0.2802348112
103	0.9080882353	0.2786059581
104	0.9085567389	0.2767068451
105	0.9085567389	0.2753533901
106	0.9094242758	0.2740214564
107	0.9091575092	0.2722476768
108	0.9091575092	0.2715205901
109	0.9096231248	0.2696077723
110	0.9096231248	0.2686587165
111	0.9104204753	0.2670831772
112	0.9126781147	0.2650707565
113	0.9138056976	0.2639772095
114	0.9149945275	0.2625669976
115	0.9149945275	0.2610926686
116	0.916180758	0.2600271331
117	0.9172438935	0.2589349097
118	0.9172438935	0.2578397613
119	0.9190962099	0.2567591082
120	0.9190962099	0.2555721197
121	0.9202766655	0.2547679684
122	0.9210047324	0.2537435598
123	0.9217897417	0.2526041418
124	0.922852984	0.2516393208
125	0.9230210603	0.2502563769
126	0.9237472767	0.2495077506
127	0.9237472767	0.2489477199
128	0.9248092989	0.2476084527
129	0.9250909091	0.2465238171
130	0.9247546347	0.2459667367
131	0.9251997095	0.2450607452
132	0.925872093	0.2444867159
133	0.9262622594	0.2436218632
134	0.9259796807	0.2419342985
135	0.9263157895	0.2411711247
136	0.9270417423	0.2399460037
137	0.9274310595	0.2389097807
138	0.9274310595	0.2383088811
139	0.9288824383	0.2373252694
140	0.9303843365	0.2364046474
141	0.9311094996	0.2356002563
142	0.9336716202	0.2347164756
143	0.9347826087	0.2332886385
144	0.9356005789	0.2326482975
145	0.9356471439	0.2318830612
146	0.9370021723	0.2310268734
147	0.9384949349	0.2301303691
148	0.9392185239	0.2293800852
149	0.9399421129	0.2289600668
150	0.9399855387	0.2278591142
151	0.9393063584	0.2273801708
152	0.9390111873	0.2266651022
153	0.9404547095	0.22594494
154	0.9401154401	0.2245507812
155	0.9404547095	0.2237187231
156	0.9407942238	0.2231222127
157	0.9411339834	0.2220341682
158	0.9421965318	0.2212008056
159	0.9425370437	0.2203190215
160	0.9444043321	0.2192699187
161	0.9447453954	0.2184417694
162	0.9455070372	0.216979122
163	0.9447453954	0.2158456274
164	0.9447453954	0.215040091
165	0.9447852761	0.2138717566
166	0.94592646	0.2130996869
167	0.9473684211	0.2122418783
168	0.9474063401	0.2115873348
169	0.9488103821	0.2108854487
170	0.9484313018	0.2101888712
171	0.9488103821	0.2093404696
172	0.9488472622	0.2086381671
173	0.9488472622	0.2077762389
174	0.9491891892	0.2068191165
175	0.9491891892	0.2064050507
176	0.9499459849	0.2052621538
177	0.9499820079	0.2046476712
178	0.9503239741	0.2041303771
179	0.9510439165	0.2032163605
180	0.9507016913	0.2021920228
181	0.9531700288	0.2014042695
182	0.9535469932	0.2006628838
183	0.9539236861	0.1999451736
184	0.9539568345	0.1990006702
185	0.9546436285	0.1987299124
186	0.9546436285	0.1975648548
187	0.9553635709	0.1965137249
188	0.9553635709	0.1958735842
189	0.9557075981	0.1949920686
190	0.9560835133	0.1939272031
191	0.9561151079	0.1932251116
192	0.9564904711	0.192542935
193	0.9564904711	0.1921743168
194	0.9568345324	0.1913198596
195	0.9575539568	0.1904536769
196	0.9582433405	0.1894286592
197	0.9597411934	0.1884882767
198	0.9601149838	0.1879715811
199	0.9612347452	0.1872384996
200	0.9622709307	0.1863998905
201	0.9622709307	0.1853709173
202	0.9626168224	0.1845131741
203	0.963362069	0.1838503433
204	0.963362069	0.1832249074
205	0.963362069	0.1823206001
206	0.963016158	0.1814153893
207	0.9644779333	0.1804330233
208	0.9651705566	0.1796618808
209	0.9644524237	0.178693513
210	0.9666307858	0.177609402
211	0.9666307858	0.1767010318
212	0.9666068223	0.1760847446
213	0.9670014347	0.1755091129
214	0.9677419355	0.17454465
215	0.9680889208	0.1737848209
216	0.9680889208	0.1731524429
217	0.9688283769	0.1723946275
218	0.9699140401	0.1719966986
219	0.97028285	0.1711910003
220	0.969544966	0.1704722901
221	0.9709573324	0.1694416994
222	0.9706303725	0.1689422684
223	0.970261555	0.168457375
224	0.9720430108	0.167371123
225	0.9720830351	0.1663252206
226	0.972450805	0.1656461308
227	0.9721030043	0.1646661471
228	0.9721030043	0.1641800904
229	0.972450805	0.1637997719
230	0.9727988547	0.1631809181
231	0.9728377412	0.1625824527
232	0.9728377412	0.1617950291
233	0.9728377412	0.1611074633
234	0.973185556	0.1605084136
235	0.973881932	0.1600668226
236	0.974248927	0.1597485927
237	0.9742304939	0.1588707381
238	0.9763948498	0.157746529
239	0.9756795422	0.1572284068
240	0.9760286225	0.1565246765
241	0.9760457633	0.1555621027
242	0.9760457633	0.1548316227
243	0.9760457633	0.1543466408
244	0.9756969264	0.1535178644
245	0.9764117227	0.1529406655
246	0.9760457633	0.1523947796
247	0.9760457633	0.1518603496
248	0.976744186	0.1514489469
249	0.9770937724	0.1507764662
250	0.9777936963	0.1503978405
251	0.9781440344	0.1500159083
252	0.9777936963	0.1491158411
253	0.9781440344	0.1483499955
254	0.9785100287	0.1475734485
255	0.9788606234	0.1470378367
256	0.9792114695	0.1467441279
257	0.9795772125	0.1463439525
258	0.9788757608	0.1458872011
259	0.9785100287	0.1453143437
260	0.9788606234	0.1448421064
261	0.9792114695	0.1442982097
262	0.9795772125	0.143518425
263	0.9792114695	0.1429117688
264	0.9795625672	0.1421306543
265	0.9799283154	0.1412991989
266	0.9795772125	0.1407983512
267	0.9795772125	0.1403069477
268	0.9799283154	0.1396364721
269	0.9799283154	0.1396286202
270	0.980996773	0.1391611705
271	0.9806451613	0.1386471283
272	0.9806451613	0.138130999
273	0.9806451613	0.1375529583
274	0.980996773	0.1371132809
275	0.981348637	0.1364443782
276	0.981348637	0.1359270422
277	0.981348637	0.1356612597
278	0.9820531228	0.1352234131
279	0.9817007535	0.1346670808
280	0.9817007535	0.134359214
281	0.9817007535	0.1339046584
282	0.9820531228	0.1334163971
283	0.9820531228	0.1331248026
284	0.9817007535	0.1328635242
285	0.9816876122	0.1325906853
286	0.9817007535	0.1321767714
287	0.9817007535	0.1315335171
288	0.9820531228	0.1309146055
289	0.9820659971	0.1306379048
290	0.982418371	0.1300068596
291	0.9824057451	0.1294904563
292	0.9831117499	0.1290052173
293	0.9831117499	0.1286154497
294	0.9831117499	0.128198475
295	0.984206748	0.1276694251
296	0.984206748	0.1273437552
297	0.984206748	0.1269805608
298	0.984206748	0.126512383
299	0.9852782765	0.1259767077
300	0.9856321839	0.1255952247
301	0.9856321839	0.125256419
302	0.9856321839	0.1248368158
303	0.9859863457	0.1244720463
304	0.9859863457	0.124028658
305	0.986340762	0.1232817777
306	0.986340762	0.1227334598
307	0.9866954333	0.1224815944
308	0.9870503597	0.1221110262
309	0.9870503597	0.1216178347
310	0.9870503597	0.1212052451
311	0.9870503597	0.1208283771
312	0.9874145991	0.1202339061
313	0.9866954333	0.1198908175
314	0.9866954333	0.1193605516
315	0.9866954333	0.1190021382
316	0.9874145991	0.1186400248
317	0.9870596693	0.1180704257
318	0.9874145991	0.1176612309
319	0.9874145991	0.1172254333
320	0.9870596693	0.116820152
321	0.9870596693	0.1162445871
322	0.9874145991	0.1159304612
323	0.9874145991	0.1154579838
324	0.9874145991	0.1150315566
325	0.9874145991	0.1145466518
326	0.9874145991	0.1141709909
327	0.9874145991	0.1139115061
328	0.9874145991	0.1134595838
329	0.9874145991	0.1131556571
330	0.9877785766	0.1125969913
331	0.9877785766	0.1124451507
332	0.9874145991	0.1121330108
333	0.9877785766	0.1119641528
334	0.9877785766	0.1116558336
335	0.9877785766	0.1110552827
336	0.9877785766	0.1110422755
337	0.9874145991	0.1108146556
338	0.9877785766	0.1104834862
339	0.9881422925	0.1100736463
340	0.9881422925	0.1096549374
341	0.9884974838	0.1092515631
342	0.9881337648	0.1089669907
343	0.9881337648	0.1087685142
344	0.9884974838	0.1084270359
345	0.9888609414	0.107882084
346	0.9884974838	0.1076336152
347	0.9892163911	0.1073268923
348	0.9892163911	0.1070186288
349	0.9899425287	0.1065986714
350	0.9892163911	0.1062328764
351	0.9895795904	0.1058968587
352	0.9895795904	0.1053933316
353	0.9895795904	0.105086967
354	0.9899425287	0.1045437743
355	0.9895795904	0.1041483809
356	0.9899352983	0.1036450298
357	0.9899352983	0.1034507732
358	0.9902982393	0.102944995
359	0.9902982393	0.1026720831
360	0.9902982393	0.1022900918
361	0.9902982393	0.1020081653
362	0.9902982393	0.1017093535
363	0.9902982393	0.1013120736
364	0.9902982393	0.1008402891
365	0.9902982393	0.1006034452
366	0.9910104279	0.1002138077
367	0.9910168883	0.09996150523
368	0.9910168883	0.09947430501
369	0.9913793103	0.09921533365
370	0.9913793103	0.09920714134
371	0.9913793103	0.09878852423
372	0.9913793103	0.09843425058
373	0.9913793103	0.09812035573
374	0.9913793103	0.09780916519
375	0.9913793103	0.09756246013
376	0.9920920201	0.09729255964
377	0.9924487594	0.09685222542
378	0.9928057554	0.09654694525
379	0.9928057554	0.0963503886
380	0.9928057554	0.09599888785
381	0.9928057554	0.09557318275
382	0.9928057554	0.09515678227
383	0.9928057554	0.09481367055
384	0.9928057554	0.09456763425
385	0.9928057554	0.09424211029
386	0.9928057554	0.093798299
387	0.9928057554	0.09353049716
388	0.9928057554	0.09326157631
389	0.9931630083	0.09297738675
390	0.9931630083	0.09276375568
391	0.9931630083	0.09240290789
392	0.9931630083	0.09192196347
393	0.9931630083	0.09152642985
394	0.9935251799	0.09125520267
395	0.994602375	0.09102197855
396	0.9942446043	0.09053915528
397	0.993887091	0.09027895567
398	0.993887091	0.08995305877
399	0.9942446043	0.08948628377
400	0.993887091	0.08915383147
401	0.993887091	0.088808253
402	0.9942446043	0.08865924274
403	0.993887091	0.08826678441
404	0.993887091	0.08800434732
405	0.993887091	0.08769802453
406	0.9942446043	0.0872598223
407	0.9942446043	0.08693968216
408	0.9942446043	0.08652457947
409	0.9946062567	0.0862931333
410	0.9946062567	0.08597890367
411	0.9949676492	0.08561588294
412	0.9949676492	0.08528043546
413	0.9949676492	0.08496758263
414	0.9949676492	0.08470528933
415	0.9953254225	0.08443847393
416	0.9953254225	0.08429624275
417	0.9953254225	0.08404829512
418	0.9953254225	0.08394474226
419	0.9953254225	0.08378375276
420	0.9953254225	0.08342224589
421	0.9953254225	0.08314247869
422	0.9953254225	0.08284264789
423	0.9953254225	0.08270296143
424	0.9956834532	0.08254596616
425	0.9956834532	0.08233053429
426	0.9956834532	0.0820773956
427	0.9956834532	0.08182376018
428	0.9960417416	0.08149159448
429	0.9960417416	0.08135935192
430	0.9960417416	0.08104120677
431	0.9956834532	0.08075317816
432	0.9960445883	0.08052655086
433	0.9960445883	0.08025830674
434	0.9960445883	0.07997285584
435	0.9960445883	0.07971379936
436	0.9960445883	0.0793193397
437	0.9960445883	0.07905283277
438	0.9964028777	0.07882087834
439	0.996761425	0.07866735671
440	0.996761425	0.07852635717
441	0.996761425	0.07829599266
442	0.996761425	0.07805648356
443	0.996761425	0.07785929673
444	0.996761425	0.07758583829
445	0.996761425	0.07735042953
446	0.9971202304	0.07719021133
447	0.9971202304	0.0769531169
448	0.9967590925	0.07675241305
449	0.9967590925	0.07641884614
450	0.9967590925	0.07621850895
451	0.9967590925	0.07583385191
452	0.9967590925	0.07551761549
453	0.9967590925	0.07519488995
454	0.9971202304	0.07493346443
455	0.9971202304	0.07458875502
456	0.9971202304	0.07448441201
457	0.9971202304	0.07416929836
458	0.9971202304	0.07395556572
459	0.9971202304	0.07384308661
460	0.9971202304	0.07358468936
461	0.9971202304	0.07336211979
462	0.9971202304	0.07319913906
463	0.9971202304	0.0730382098
464	0.9974811083	0.07280631537
465	0.9974811083	0.07248035167
466	0.9978417266	0.07229102691
467	0.9978417266	0.07216508561
468	0.9978417266	0.07192236261
469	0.9978417266	0.0717406296
470	0.9978417266	0.07158234376
471	0.9978417266	0.0714529222
472	0.9978417266	0.07129116619
