iter	Passed	Remaining
0	167	167689
1	189	94649
2	198	65933
3	206	51460
4	214	42758
5	222	36784
6	228	32374
7	234	29052
8	240	26469
9	246	24393
10	252	22703
11	258	21301
12	264	20081
13	270	19053
14	276	18156
15	282	17385
16	288	16705
17	294	16085
18	300	15534
19	306	15039
20	313	14595
21	318	14179
22	325	13812
23	331	13471
24	337	13148
25	343	12856
26	349	12581
27	356	12382
28	363	12183
29	370	11973
30	378	11823
31	386	11702
32	394	11565
33	402	11443
34	411	11343
35	417	11173
36	424	11040
37	430	10890
38	435	10742
39	441	10602
40	447	10470
41	453	10342
42	459	10222
43	465	10104
44	471	9997
45	476	9888
46	482	9783
47	488	9687
48	494	9594
49	500	9506
50	506	9422
51	512	9341
52	518	9260
53	523	9178
54	529	9101
55	535	9022
56	540	8949
57	546	8880
58	552	8811
59	558	8751
60	564	8690
61	570	8632
62	577	8587
63	589	8622
64	597	8594
65	605	8565
66	613	8539
67	621	8516
68	627	8469
69	634	8426
70	641	8393
71	647	8349
72	653	8304
73	660	8265
74	666	8219
75	672	8176
76	678	8135
77	684	8093
78	690	8052
79	696	8013
80	703	7977
81	709	7941
82	715	7902
83	721	7866
84	727	7832
85	733	7796
86	739	7760
87	745	7726
88	751	7693
89	757	7662
90	763	7630
91	769	7599
92	775	7567
93	782	7537
94	787	7506
95	794	7477
96	800	7448
97	806	7421
98	812	7393
99	818	7365
100	824	7338
101	832	7326
102	839	7310
103	845	7288
104	852	7262
105	858	7237
106	864	7211
107	870	7186
108	876	7164
109	882	7140
110	888	7119
111	894	7094
112	900	7070
113	906	7047
114	912	7024
115	919	7003
116	924	6980
117	931	6960
118	937	6938
119	943	6917
120	949	6896
121	955	6874
122	961	6855
123	967	6834
124	973	6814
125	979	6794
126	985	6774
127	991	6754
128	997	6735
129	1003	6716
130	1010	6703
131	1017	6689
132	1025	6687
133	1036	6696
134	1043	6687
135	1051	6680
136	1057	6661
137	1064	6647
138	1070	6628
139	1075	6609
140	1082	6592
141	1087	6573
142	1094	6556
143	1099	6537
144	1105	6519
145	1111	6502
146	1117	6484
147	1123	6467
148	1129	6450
149	1135	6433
150	1141	6417
151	1147	6400
152	1153	6383
153	1158	6366
154	1164	6349
155	1170	6334
156	1176	6319
157	1182	6302
158	1188	6287
159	1194	6271
160	1200	6257
161	1206	6240
162	1212	6225
163	1218	6211
164	1224	6196
165	1230	6181
166	1236	6166
167	1242	6152
168	1248	6137
169	1254	6122
170	1259	6108
171	1265	6094
172	1271	6080
173	1277	6066
174	1283	6051
175	1289	6037
176	1295	6023
177	1301	6009
178	1307	5995
179	1313	5981
180	1318	5968
181	1324	5954
182	1330	5942
183	1336	5929
184	1342	5916
185	1348	5902
186	1354	5890
187	1360	5878
188	1367	5866
189	1373	5853
190	1379	5842
191	1385	5830
192	1391	5818
193	1397	5806
194	1403	5795
195	1410	5783
196	1416	5772
197	1422	5761
198	1428	5749
199	1434	5737
200	1440	5725
201	1446	5714
202	1452	5703
203	1458	5692
204	1464	5681
205	1472	5673
206	1478	5662
207	1484	5650
208	1490	5641
209	1499	5642
210	1506	5634
211	1513	5625
212	1519	5615
213	1527	5610
214	1534	5602
215	1540	5592
216	1550	5594
217	1557	5588
218	1564	5579
219	1570	5569
220	1576	5558
221	1583	5548
222	1589	5537
223	1595	5528
224	1602	5518
225	1608	5507
226	1614	5497
227	1620	5488
228	1627	5480
229	1633	5470
230	1641	5464
231	1649	5460
232	1662	5471
233	1672	5475
234	1680	5471
235	1687	5461
236	1695	5459
237	1702	5449
238	1708	5439
239	1714	5429
240	1720	5419
241	1727	5409
242	1733	5400
243	1739	5390
244	1746	5381
245	1752	5371
246	1758	5361
247	1766	5357
248	1773	5348
249	1779	5339
250	1788	5336
251	1794	5327
252	1801	5319
253	1808	5310
254	1814	5300
255	1820	5292
256	1828	5286
257	1835	5277
258	1841	5268
259	1848	5260
260	1855	5253
261	1862	5245
262	1868	5235
263	1874	5226
264	1880	5215
265	1886	5206
266	1892	5196
267	1899	5187
268	1905	5178
269	1911	5168
270	1918	5161
271	1925	5153
272	1931	5144
273	1938	5135
274	1944	5127
275	1951	5118
276	1957	5109
277	1963	5100
278	1970	5092
279	1977	5083
280	1983	5075
281	1989	5066
282	1997	5059
283	2003	5050
284	2009	5041
285	2016	5033
286	2022	5025
287	2030	5018
288	2036	5010
289	2042	5001
290	2049	4993
291	2055	4984
292	2062	4976
293	2068	4968
294	2075	4959
295	2082	4952
296	2088	4942
297	2094	4934
298	2101	4926
299	2109	4921
300	2116	4914
301	2122	4905
302	2128	4896
303	2134	4886
304	2140	4878
305	2147	4869
306	2153	4860
307	2159	4852
308	2165	4843
309	2172	4835
310	2178	4826
311	2184	4817
312	2190	4808
313	2197	4800
314	2203	4791
315	2209	4783
316	2215	4774
317	2222	4765
318	2228	4756
319	2234	4749
320	2240	4740
